ADVERTISER_NAME,advertiser_industry,SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile
UK Brooke,other,sovrn,uk.news.yahoo.com,,Mobile,Web,DISPLAY,320x50,GB,12053,7559,11596,0.6518999999999999,3,0.02,18.338183,1.521,2.426,6.113,0,0.0,0.6271,0.9621,2.426,0.807,0.0184,0.807,low,IAB0,,other,mass_reach
Sky Showtime,entertainment,wpsspexternal,www.rynekzdrowia.pl,,Mobile,Web,DISPLAY,320x100,PL,11893,10959,11778,0.9305,25,0.21,8.086564,0.68,0.738,0.323,0,0.0,0.9215,0.9903,0.7379,0.9604,0.0604,0.9604,low,IAB1,,entertainment,"mass_reach,young_adults"
Warner Bros - Global,entertainment,adxbr,somosmoto.pe,,Mobile,Web,DISPLAY,300x250,PE,11817,3688,11248,0.3278999999999999,11,0.09,3.851527,0.326,1.044,0.35,0,0.0,0.3121,0.9518,1.0443,0.6399,0.0427,0.4399,medium,IAB1,,entertainment,"mass_reach,young_adults"
KIA Latam,automotive,adxbr,www.f1mania.net,,Mobile,Web,DISPLAY,300x600,BR,11708,8716,11368,0.7667,185,0.0158,45.6656,3.9,5.239,0.247,0,0.0,0.7444,0.971,5.2393,0.8689,0.0085,0.8689,low,IAB2,,automotive,"mass_reach,professionals"
Localiza Seminovos,automotive,adxbr,katiaribeiro.com.br,,Mobile,Web,DISPLAY,336x280,BR,11656,1333,2357,0.5655,233,0.02,29.148351,2.501,21.867,0.125,0,0.0,0.1144,0.2022,21.8667,0.3839,0.002,0.3839,high,IAB2,,automotive,"mass_reach,professionals"
Sky Showtime,entertainment,adx,divany.hu,,Mobile,Web,DISPLAY,336x280,HU,11311,8798,11152,0.7889,37,0.33,10.036432,0.887,1.141,0.271,0,0.0,0.7778,0.9859,1.1408,0.8874,0.0391,0.8874,low,IAB1,,entertainment,"mass_reach,young_adults"
Adidas - France,fashion,appnexus,www.programme-television.org,,Mobile,Web,DISPLAY,970x250,FR,11073,9399,10731,0.8759,44,0.4,15.715852,1.419,1.672,0.357,0,0.0,0.8488,0.9691,1.6721,0.9225,0.0266,0.9225,low,IAB18,,lifestyle,"young_adults,high_income"
Sky Showtime,entertainment,adx,akcios-ujsag.hu,,Mobile,Web,DISPLAY,300x250,HU,11055,6826,10919,0.6251,184,0.0166,33.700289,3.048,4.937,0.183,0,0.0,0.6175,0.9877,4.937,0.8064,0.009,0.8064,low,IAB1,,entertainment,"mass_reach,young_adults"
Dementia UK,health,adx,fortnitetracker.com,,Desktop,Web,DISPLAY,970x90,GB,11050,8354,10492,0.7962,103,0.93,3.471159,0.314,0.416,0.034,0,0.0,0.756,0.9495,0.4155,0.8729,0.1072,0.8729,low,IAB7,,health,"mass_reach,professionals"
mtl_emea_de_dl_barbie_multi,entertainment,kidoz,apps.apple.com,Merge Studio: Fashion Makeover,Mobile,In-app,VIDEO,1300x1280,DE,10991,8421,8587,0.9807,210,0.0191,107.373508,9.769,12.751,0.511,10471,0.9527,0.7662,0.7813,12.7507,0.9039,0.0035,0.881,low,IAB1,,entertainment,"mass_reach,young_adults"
